City_ID,City,Lat,Lng,Max Temp,Humidity,Wind Speed,Country,Current Desc,Rain,Snow
259,Lyantonde,-0.4,31.16,66.54,72,4.09,UG,broken clouds,0.0,0
260,Faanui,-16.48,-151.75,79.16,73,16.04,PF,overcast clouds,0.0,0
261,Ampanihy,-24.7,44.75,64.65,80,7.16,MG,scattered clouds,0.0,0
262,Naurskaya,43.65,45.31,78.8,69,8.63,RU,scattered clouds,0.0,0
263,Ambilobe,-13.2,49.05,67.48,76,3.47,MG,few clouds,0.0,0
264,Harper,4.38,-7.72,75.15,80,7.58,LR,broken clouds,0.0,0
265,Talnakh,69.49,88.4,53.6,93,11.18,RU,broken clouds,0.0,0
266,Severomuysk,56.15,113.43,57.42,73,0.76,RU,scattered clouds,0.0,0
267,Quatre Cocos,-20.21,57.76,72.0,73,14.99,MU,few clouds,0.0,0
268,Ucluelet,48.93,-125.55,62.6,67,14.99,CA,scattered clouds,0.0,0
269,Hualmay,-11.1,-77.61,66.0,68,7.31,PE,clear sky,0.0,0
270,Saint George,37.1,-113.58,109.99,12,4.7,US,clear sky,0.0,0
271,Mumford,5.26,-0.76,74.82,89,9.64,GH,scattered clouds,0.0,0
272,Kalmunai,7.42,81.82,81.88,78,5.28,LK,overcast clouds,0.0,0
273,Douentza,15.0,-2.95,93.25,37,5.84,ML,scattered clouds,0.0,0
274,College,64.86,-147.8,64.99,55,4.14,US,broken clouds,0.0,0
275,Mbini,1.57,9.61,75.76,89,9.04,GQ,light rain,0.19,0
276,Dunedin,-45.87,170.5,42.01,79,4.0,NZ,clear sky,0.0,0
277,Acapulco,16.86,-99.89,87.8,66,4.7,MX,broken clouds,0.0,0
278,Cherskiy,68.75,161.3,52.54,93,3.27,RU,overcast clouds,0.0,0
279,Daru,-9.08,143.21,77.07,89,16.08,PG,moderate rain,1.56,0
280,Charlestown,-32.95,151.67,46.99,96,4.94,AU,clear sky,0.0,0
281,Jamestown,42.1,-79.24,75.0,60,12.75,US,clear sky,0.0,0
282,Nouadhibou,20.93,-17.03,73.4,78,10.29,MR,clear sky,0.0,0
283,Itarema,-2.92,-39.92,78.44,79,14.0,BR,light rain,0.22,0
284,Lar,26.2,83.97,84.99,76,5.55,IN,moderate rain,2.4,0
285,Hurghada,27.26,33.81,89.6,35,10.29,EG,clear sky,0.0,0
286,Mehamn,71.04,27.85,46.4,87,5.82,NO,overcast clouds,0.0,0
287,Ponta Do Sol,32.67,-17.1,73.0,74,4.92,PT,clear sky,0.0,0
288,Hamilton,39.18,-84.53,86.0,54,6.93,US,scattered clouds,0.0,0
289,Seoul,37.57,126.98,66.2,93,3.36,KR,moderate rain,2.03,0
290,Taos,36.41,-105.57,91.4,13,8.05,US,clear sky,0.0,0
291,Abeche,13.83,20.83,87.55,45,3.15,TD,clear sky,0.0,0
292,Pangnirtung,66.15,-65.71,50.0,81,13.87,CA,shower rain,0.0,0
293,San Ramon,37.78,-121.98,98.6,9,8.05,US,clear sky,0.0,0
294,Peterhead,57.51,-1.8,59.0,72,8.05,GB,overcast clouds,0.0,0
295,Alofi,-19.06,-169.92,73.4,88,18.34,NU,broken clouds,0.0,0
296,Lakes Entrance,-37.88,147.98,52.0,98,3.0,AU,light rain,0.16,0
297,Cockburn Town,21.46,-71.14,87.8,62,8.05,TC,scattered clouds,0.0,0
298,Gat,31.61,34.76,78.01,70,1.01,IL,clear sky,0.0,0
299,Tshikapa,-6.42,20.8,75.6,63,1.7,CD,scattered clouds,0.0,0
300,Vila,42.03,-8.16,78.8,54,5.82,PT,clear sky,0.0,0
301,Dire,12.28,-10.97,77.09,87,1.61,ML,light rain,0.88,0
302,Peniche,39.36,-9.38,72.0,84,8.81,PT,clear sky,0.0,0
303,Timra,62.49,17.33,57.2,62,8.05,SE,overcast clouds,0.0,0
304,Pacific Grove,36.62,-121.92,75.2,68,8.05,US,clear sky,0.0,0
305,Sokoto,13.06,5.24,77.99,71,12.64,NG,light rain,0.82,0
306,Itoman,26.12,127.67,84.2,83,5.82,JP,scattered clouds,0.0,0
307,Chita,52.03,113.55,59.0,93,2.24,RU,broken clouds,0.0,0
308,Bossangoa,6.49,17.46,72.45,88,2.24,CF,light rain,0.24,0
309,Bilibino,68.05,166.44,62.17,75,0.94,RU,light rain,0.58,0
310,Bocaiuva,-17.11,-43.81,82.4,26,6.26,BR,clear sky,0.0,0
311,Darhan,49.49,105.92,59.34,84,1.39,MN,scattered clouds,0.0,0
312,Andenes,69.31,16.12,51.8,81,4.7,NO,few clouds,0.0,0
313,San Cristobal,7.77,-72.22,87.8,52,6.93,VE,thunderstorm,0.0,0
314,Yar-Sale,66.83,70.83,52.84,94,12.48,RU,light rain,0.37,0
315,Ilulissat,69.22,-51.1,48.2,70,5.82,GL,scattered clouds,0.0,0
316,Porto Empedocle,37.29,13.53,73.99,75,7.0,IT,clear sky,0.0,0
317,Pisco,-13.7,-76.22,66.99,77,10.29,PE,scattered clouds,0.0,0
318,San Patricio,19.22,-104.7,87.8,74,11.41,MX,scattered clouds,0.0,0
319,Dasoguz,41.84,59.97,80.6,39,6.93,TM,clear sky,0.0,0
320,Conde,-7.26,-34.91,78.8,74,10.29,BR,few clouds,0.0,0
321,Mackay,-21.15,149.2,60.8,82,8.05,AU,overcast clouds,0.0,0
322,Camopi,3.17,-52.32,78.85,92,2.28,GF,light rain,0.3,0
323,Finschhafen,-6.6,147.87,78.82,75,9.57,PG,overcast clouds,0.0,0
324,Sobolevo,54.43,31.9,53.96,83,11.97,RU,overcast clouds,0.0,0
325,Tiksi,71.69,128.87,59.45,80,4.29,RU,overcast clouds,0.0,0
326,Chute-Aux-Outardes,49.12,-68.4,78.8,74,6.93,CA,overcast clouds,0.0,0
327,Luwuk,-0.95,122.79,76.48,80,5.1,ID,few clouds,0.0,0
328,Puerto Quijarro,-17.78,-57.77,87.76,38,1.68,BO,overcast clouds,0.0,0
329,Vidim,56.41,103.11,52.66,78,3.74,RU,clear sky,0.0,0
